금융회사명,상품명,가입방법,상환 방식,우대조건,가입대상,금리유형,적립유형,저축기간(개월),최저 금리(%),최고우대금리(%),금융권,최저 금리(%),대출한도
경남은행,경남새희망홀씨대출II,영업점,"근로소득자
개인사업자
기타 소득자
연금소득자
일시상환식 : 1년 이내
할부상환식 : 1년 초과 ~ 5년 이내
근로소득자
일시상환식 : 1년 이내
할부상환식 : 1년 초과 ~ 5년 이내
 개인사업자
할부상환식 : 1년 초과 ~ 5년 이내
 기타 소득자","감면우대금리, ※ 거래실적감면은 대출취급일이 속한 달의 다음달부터 매 3개월 단위로 확인하여 금리감면 조건이 유지 또는 이행되지 않는 경우에는 매 3개월 다음달 13일에 감면받는 금리가 자동 조정됩니다.(대출거래약정서 및 추가약정서(우대금리)등 참고), 우대금리 적용에 따른 감면 : 최대 1.5%p, 거래실적에 의한 우대 : 최대 0.3%p, ① 급여이체계좌 또는 가맹점 결제계좌 경남은행 지정 : 0.2%p, ② 생활요금 자동이체 건당 0.05%p : 최대 0.1%p, 취약계층에 대한 금리 우대 : 1.0%p, 취약계층: 기초생활수급권자, 한부모•다자녀•다문화가정, 만60세 이상 부 또는 모 부양자, 장애인, 조손가정, 고령자(만 65세 이상), 청년층(만 29세 이하), 금융교육 이수자 : 0.2%p, 공신력 있는 금융교육기관(신용회복위원회, 한국금융연수원, 서민금융진흥원 등)에서 금융교육을 이수한 경우, 한시적 우대지원 : 0.5%p, 거래실적에 의한 우대 : 최대 0.3%p, ① 급여이체계좌 또는 가맹점 결제계좌 경남은행 지정 : 0.2%p, ② 생활요금 자동이체 건당 0.05%p : 최대 0.1%p, ① 급여이체계좌 또는 가맹점 결제계좌 경남은행 지정 : 0.2%p, ② 생활요금 자동이체 건당 0.05%p : 최대 0.1%p, 취약계층에 대한 금리 우대 : 1.0%p, 취약계층: 기초생활수급권자, 한부모•다자녀•다문화가정, 만60세 이상 부 또는 모 부양자, 장애인, 조손가정, 고령자(만 65세 이상), 청년층(만 29세 이하), 취약계층: 기초생활수급권자, 한부모•다자녀•다문화가정, 만60세 이상 부 또는 모 부양자, 장애인, 조손가정, 고령자(만 65세 이상), 청년층(만 29세 이하), 금융교육 이수자 : 0.2%p, 공신력 있는 금융교육기관(신용회복위원회, 한국금융연수원, 서민금융진흥원 등)에서 금융교육을 이수한 경우, 공신력 있는 금융교육기관(신용회복위원회, 한국금융연수원, 서민금융진흥원 등)에서 금융교육을 이수한 경우, 한시적 우대지원 : 0.5%p, 성실상환자에 대한 감면 : 약정기간 내 최대 2.0%p 이내, 일시상환식을 거치기간이 없는 할부상환식으로 전환하는 경우 : 1.0%p 이내, 감면우대금리, 우대금리 적용에 따른 감면 : 최대 1.5%p, 거래실적에 의한 우대 : 최대 0.3%p, ① 급여이체계좌 또는 가맹점 결제계좌 경남은행 지정 : 0.2%p, ② 생활요금 자동이체 건당 0.05%p : 최대 0.1%p, 취약계층에 대한 금리 우대 : 1.0%p, 취약계층: 기초생활수급권자, 한부모•다자녀•다문화가정, 만60세 이상 부 또는 모 부양자, 장애인, 조손가정, 고령자(만 65세 이상), 청년층(만 29세 이하), 금융교육 이수자 : 0.2%p, 공신력 있는 금융교육기관(신용회복위원회, 한국금융연수원, 서민금융진흥원 등)에서 금융교육을 이수한 경우, 한시적 우대지원 : 0.5%p,  성실상환자에 대한 감면 : 약정기간 내 최대 2.0%p 이내,  일시상환식을 거치기간이 없는 할부상환식으로 전환하는 경우 : 1.0%p 이내,  ※ 거래실적감면은 대출취급일이 속한 달의 다음달부터 매 3개월 단위로 확인하여 금리감면 조건이 유지 또는 이행되지 않는 경우에는 매 3개월 다음달 13일에 감면받는 금리가 자동 조정됩니다.(대출거래약정서 및 추가약정서(우대금리)등 참고)","3개월 이상 재직중인 근로소득자, 기타소득자, 개인사업 및 연금을 1회 이상 수령한 연금소득자
CB평점에 상관없이 연소득 3,500만원 이하인 경우
CB평점이 하위 100분의 20에 해당하는 경우로서 연소득 3,500만원초과 4,500만원이하로서 CB평점이 하위 100분의 20에 해당하는 경우(NCB, KCB평점정보 중 하나라도 100분의 20에 해당하는 경우)
3개월 이상 재직중인 근로소득자, 기타소득자, 개인사업 및 연금을 1회 이상 수령한 연금소득자
CB평점에 상관없이 연소득 3,500만원 이하인 경우
CB평점이 하위 100분의 20에 해당하는 경우로서 연소득 3,500만원초과 4,500만원이하로서 CB평점이 하위 100분의 20에 해당하는 경우(NCB, KCB평점정보 중 하나라도 100분의 20에 해당하는 경우)","기준금리 : 금융채(12개월 변동)
기준금리 : 금융채(12개월 변동)",해당없음,정보 없음,5.59,3.0,2금융권,5.59,3500만원
기업은행,IBK새희망홀씨II,영업점,"거치기간 없는 매월 원(리)금균등분할상환
단, 만기가 5년을 초과하는 대출은 원금균등분할상환방식만 가능
최대 15년 이내
단, 긴급생계자금의 경우 최대 5년 이내","매 1년마다 성실상환 시(연체 없이) 0.3% 자동 금리감면 적용, 금융취약계층에 대한 우대금리 : 연 최고 1.4%, 매 1년마다 성실상환 시(연체 없이) 0.3% 자동 금리감면 적용, 금융취약계층에 대한 우대금리 : 연 최고 1.4%","연소득 4,500만원 이내로 다음에 각 1에 해당하는 고객
개인신용평점 기준을 충족하더라도 은행 내부 신용등급 등 기준에 충족하지 못할 경우 상품가입이 제한될 수 있습니다.
대출 제외 대상
① ""연소득 3,500만원 이하""인 고객(개인신용평점(CB점수) 제한없음)
② ""연소득 3,500만원 초과 ~ 4,500만원 이하""로서 개인신용평점(CB점수) 하위 20% 이하(0점 포함)인 고객
③ 사업자등록증 미보유자로서 현장방문을 통해 생계형 업종임이 확인된 고객(이하 '생계형')
⇒ ① 또는 ② 조건 충족
⇒ ① 또는 ② 조건 충족
④ IBK기업은행 거래 상시근로자 10인 미만 소기업에 1년 이상 재직중인 근로자(이하 '소기업 근로자')
⇒ ① 또는 ② 조건 충족
⇒ ① 또는 ② 조건 충족
은행연합회 신용정보 전산망에 연체(3개월 이상 등), 부도, 대위변제, 금융질서 문란정보 및 공공정보(조세, 과태료, 고용보험료 등 체납, 신용회복지원정보(회생, 파산, 면책)가 등재된 자
대출신청일 현재 기업은행 대출금 또는 신용카드 연체 중인 자
재외국민, 외국인, 해외체류자
연소득 4,500만원 이내로 다음에 각 1에 해당하는 고객
① ""연소득 3,500만원 이하""인 고객(개인신용평점(CB점수) 제한없음)
② ""연소득 3,500만원 초과 ~ 4,500만원 이하""로서 개인신용평점(CB점수) 하위 20% 이하(0점 포함)인 고객
③ 사업자등록증 미보유자로서 현장방문을 통해 생계형 업종임이 확인된 고객(이하 '생계형')
⇒ ① 또는 ② 조건 충족
④ IBK기업은행 거래 상시근로자 10인 미만 소기업에 1년 이상 재직중인 근로자(이하 '소기업 근로자')
⇒ ① 또는 ② 조건 충족
 개인신용평점 기준을 충족하더라도 은행 내부 신용등급 등 기준에 충족하지 못할 경우 상품가입이 제한될 수 있습니다.
 대출 제외 대상
은행연합회 신용정보 전산망에 연체(3개월 이상 등), 부도, 대위변제, 금융질서 문란정보 및 공공정보(조세, 과태료, 고용보험료 등 체납, 신용회복지원정보(회생, 파산, 면책)가 등재된 자
대출신청일 현재 기업은행 대출금 또는 신용카드 연체 중인 자
재외국민, 외국인, 해외체류자","고정금리, 변동금리(3개월)
고정금리, 변동금리(3개월)",해당없음,정보 없음,6.1,1.0,2금융권,6.1,3500만원
신한은행,쏠편한 포켓론 (소액 새희망 홀씨),모바일,"만기일시상환: 1년
원금균등분할상환: 1년 또는 2년","최대 1.0%, 급여이체(일정금액 거래시) 0.5%, 신한카드(신용 또는 체크) 0.5%, 최대 1.0%,  급여이체(일정금액 거래시) 0.5%,  신한카드(신용 또는 체크) 0.5%","연소득 3,500만원 이하 개인(내국인)
신한은행 심사기준을 충족하는 고객
연소득 3,500만원 이하 개인(내국인)
 신한은행 심사기준을 충족하는 고객","변동금리 : 금융채 (1년)
변동금리 : 금융채 (1년)",해당없음,정보 없음,6.76,1.0,2금융권,6.76,500만원
신한은행,신한 새희망홀씨II,영업점,"만기일시상환 : 12개월(최장 20년까지 1년 이내 단위로 연장 가능)
원(리)금분할상환 : 12개월 이상 60개월까지(거치기간은 약정기간의 1/3범위내에서 최대 1년까지 가능)","우대플랜1 최대 2.5%, 우대플랜2 : 성실상환자에 대한 금리 감면, 1) 기초생활수급자, 한부모가정, 다자녀가정(1가구 만20세 미만 3자녀 이상), 다문화가정, 만 60세이상 부모부양자, 장애인 각 0.2% 우대, 2) 청년층(만29세이하)/고령자(만65세이상) 0.1%우대, 3) 금융교육이수자 0.1% 우대, 4) 신한은행 특별지원 1.5% 우대 (~23.12.31까지 한시 적용), 만기일시상환대출, 대출연기시 과거 약정기간 중 연체내역이 없는 경우 금리 연도별 연 0.5% 최대 5년간 누적 2.0%까지 우대, 대출연기시 과거 약정기간 중 연체내역이 없는 경우 금리 연도별 연 0.5% 최대 5년간 누적 2.0%까지 우대, 분할상환대출, 약정기간(분기별) 중 연체내역이 없는 경우 분기별 0.15% 최대 2.85%까지 우대, 약정기간(분기별) 중 연체내역이 없는 경우 분기별 0.15% 최대 2.85%까지 우대, 우대플랜1 최대 2.5%, 1) 기초생활수급자, 한부모가정, 다자녀가정(1가구 만20세 미만 3자녀 이상), 다문화가정, 만 60세이상 부모부양자, 장애인 각 0.2% 우대, 2) 청년층(만29세이하)/고령자(만65세이상) 0.1%우대, 3) 금융교육이수자 0.1% 우대, 4) 신한은행 특별지원 1.5% 우대 (~23.12.31까지 한시 적용),  우대플랜2 : 성실상환자에 대한 금리 감면, 만기일시상환대출, 대출연기시 과거 약정기간 중 연체내역이 없는 경우 금리 연도별 연 0.5% 최대 5년간 누적 2.0%까지 우대, 분할상환대출, 약정기간(분기별) 중 연체내역이 없는 경우 분기별 0.15% 최대 2.85%까지 우대","아래 ①,②의 요건을 모두 충족하는 고객
① 신한은행의 여신심사 기준에 의해 대출 적격자로 판정된 국내거주 국민인 분
② 연소득 3,500만원 이하 또는 개인신용평가회사의 개인신용평점이 하위 20%에 해당하고 연소득 4,500만원 이하인 고객
아래 ①,②의 요건을 모두 충족하는 고객
① 신한은행의 여신심사 기준에 의해 대출 적격자로 판정된 국내거주 국민인 분
② 연소득 3,500만원 이하 또는 개인신용평가회사의 개인신용평점이 하위 20%에 해당하고 연소득 4,500만원 이하인 고객","변동금리 : 금융채 1년
변동금리 : 금융채 1년",해당없음,정보 없음,7.28,1.0,2금융권,7.28,3500만원
우리은행,우리 새희망홀씨II(스마트),모바일,"원(리)금균등분할상환 : 최장 7년이내","다음 각 호의 조건에 해당되는 경우 최대 연 0.5%p 우대금리 적용 가능, 금리우대쿠폰(대출 미보유 고객) : 연 0.3%p, 청년층(만29세 이하) : 연 0.2%p, 고령자(만65세 이상) : 연 0.2%p, 다음 각 호의 조건에 해당되는 경우 최대 연 0.5%p 우대금리 적용 가능, 금리우대쿠폰(대출 미보유 고객) : 연 0.3%p, 청년층(만29세 이하) : 연 0.2%p, 고령자(만65세 이상) : 연 0.2%p","다음 각호의 어느 하나에 해당하는 개인 및 개인사업자 고객(※단, 외국인 제외)
※ 내부신용등급 및 연체이력등에 따라 대출 취급이 불가할수 있음
※ 비대면 스크래핑 방식을 활용하여 소득입증이 가능한 개인 및 개인사업자
연소득 3,500만원 이하인 자 & 신용평가회사의 개인신용평점을 보유한 자
연소득 4,500만원 이하인 자 & 신용평가회사의 개인신용평점이 하위 100분의 20에 해당하는자
다음 각호의 어느 하나에 해당하는 개인 및 개인사업자 고객(※단, 외국인 제외)
연소득 3,500만원 이하인 자 & 신용평가회사의 개인신용평점을 보유한 자
연소득 4,500만원 이하인 자 & 신용평가회사의 개인신용평점이 하위 100분의 20에 해당하는자
 ※ 내부신용등급 및 연체이력등에 따라 대출 취급이 불가할수 있음
 ※ 비대면 스크래핑 방식을 활용하여 소득입증이 가능한 개인 및 개인사업자","고정금리, 변동금리
고정금리, 변동금리",해당없음,정보 없음,7.57,0.5,2금융권,7.57,3500만원
하나은행,하나 새희망홀씨II,"모바일,인터넷","원(리)금 균등분할상환 : 5년 이내
부분 원(리)금 균등분할상환(만기상환액은 대출금의 30% 이내) : 5년 이내","최대 1.0%, <부수거래 항목별 감면금리>, <기타감면 항목별 감면금리>, ① 각 0.1% : 청년층(만29세 이하), 고령자(만65세 이상), 장애인, 금융교육 이수자, ② 각 0.2% : 기초생활수급권자, 한부모가정, 다문화가정, 만60세 이상 부모부양자, 만19세 미만 2자녀 가정, ③ 0.4% : 만19세 미만 3자녀 이상 가정, 급여이체(0.3%), 주택청약종합저축납입(0.2%), 제휴카드결제, 기타자동이체, 적금상품납입, 하나원큐이체(각 0.1%), 최대 1.0%,  <부수거래 항목별 감면금리>, 급여이체(0.3%), 주택청약종합저축납입(0.2%), 제휴카드결제, 기타자동이체, 적금상품납입, 하나원큐이체(각 0.1%),  <기타감면 항목별 감면금리>, ① 각 0.1% : 청년층(만29세 이하), 고령자(만65세 이상), 장애인, 금융교육 이수자, ② 각 0.2% : 기초생활수급권자, 한부모가정, 다문화가정, 만60세 이상 부모부양자, 만19세 미만 2자녀 가정, ③ 0.4% : 만19세 미만 3자녀 이상 가정","대출신청일 기준 하나은행 여신심사에 의해 대출 적격으로 판정된 1개월 이상 근로소득, 사업소득, 연금소득이 있는 손님으로서 연소득 3,500만원 이하 또는 CB신용평점 하위 20%의 경우 연소득 4,500만원 이하인 손님을 대상으로 한다. 이 경우 CB신용평점은 KCB CB평점, NICE CB평점 중 낮은 점수를 적용한다.
단, 하나원큐 새희망홀씨II는 신청일 기준 6개월 이상의 근로소득이 있는 자만 가능하다.
대출신청일 기준 하나은행 여신심사에 의해 대출 적격으로 판정된 1개월 이상 근로소득, 사업소득, 연금소득이 있는 손님으로서 연소득 3,500만원 이하 또는 CB신용평점 하위 20%의 경우 연소득 4,500만원 이하인 손님을 대상으로 한다. 이 경우 CB신용평점은 KCB CB평점, NICE CB평점 중 낮은 점수를 적용한다.
단, 하나원큐 새희망홀씨II는 신청일 기준 6개월 이상의 근로소득이 있는 자만 가능하다.","1년물 금융채 유통수익률
1년물 금융채 유통수익률",해당없음,정보 없음,7.72,1.0,2금융권,7.72,3500만원
우리은행,우리 새희망홀씨II,영업점,"원(리)금균등분할상환 : 최장 7년이내","다음 각 호의 조건에 해당되는 경우 최대 연 1.0%p 우대금리 적용 가능, 다문화 가정 : 연 0.3%p, 60세 이상 부모 부양자 : 연 0.3%p, 기초생활수급권자 : 연 0.3%p, 3자녀 이상 : 연 0.3%p, 한부모 가정 : 연 0.3%p, 장애인 : 연 0.3%p, 금리우대쿠폰(대출 미보유 고객) : 연 0.3%p, 청년층(만29세 이하) : 연 0.2%p, 고령자(만65세 이상) : 연 0.2%p, 금융교육이수자 : 연 0.1%p, 일용직 근로자 : 연 0.1%p, 다음 각 호의 조건에 해당되는 경우 최대 연 1.0%p 우대금리 적용 가능, 다문화 가정 : 연 0.3%p, 60세 이상 부모 부양자 : 연 0.3%p, 기초생활수급권자 : 연 0.3%p, 3자녀 이상 : 연 0.3%p, 한부모 가정 : 연 0.3%p, 장애인 : 연 0.3%p, 금리우대쿠폰(대출 미보유 고객) : 연 0.3%p, 청년층(만29세 이하) : 연 0.2%p, 고령자(만65세 이상) : 연 0.2%p, 금융교육이수자 : 연 0.1%p, 일용직 근로자 : 연 0.1%p","다음 각호의 어느 하나에 해당하는 개인 및 개인사업자 고객(※단, 외국인 제외)
※ 내부신용등급 및 연체이력등에 따라 대출 취급이 불가할수 있음
연소득 3,500만원 이하인 자 & 신용평가회사의 개인신용평점을 보유한 자
연소득 4,500만원 이하인 자 & 신용평가회사의 개인신용평점이 하위 100분의 20에 해당하는자
다음 각호의 어느 하나에 해당하는 개인 및 개인사업자 고객(※단, 외국인 제외)
연소득 3,500만원 이하인 자 & 신용평가회사의 개인신용평점을 보유한 자
연소득 4,500만원 이하인 자 & 신용평가회사의 개인신용평점이 하위 100분의 20에 해당하는자
 ※ 내부신용등급 및 연체이력등에 따라 대출 취급이 불가할수 있음","고정금리
고정금리",해당없음,정보 없음,7.79,1.0,2금융권,7.79,3500만원
전북은행,JB 새희망홀씨II 대출,"모바일,인터넷,영업점","원금균등분할상환, 원리금균등분할상환 : 1년 ~ 5년","우대금리 : 최고 연 1.50% (금융소외계층 최고 1.00% / 성실상환우대 최고 0.50%), * 취급당시 금융소외계층 우대 적용 / 취급 후 1년 경과시 성실상환우대 추가 적용, ※ 상기 대출 금리는 기준일 현재의 적용금리이며, 기준금리 변동시 금리가 변동될 수 있습니다., 우대금리 : 최고 연 1.50% (금융소외계층 최고 1.00% / 성실상환우대 최고 0.50%), * 취급당시 금융소외계층 우대 적용 / 취급 후 1년 경과시 성실상환우대 추가 적용, ※ 상기 대출 금리는 기준일 현재의 적용금리이며, 기준금리 변동시 금리가 변동될 수 있습니다.","다음의 조건을 모두 충족하는 개인(개인사업자 포함)
전북은행 신용등급(결합) 7등급 이상
재직조건
급여소득자 : 현 직장 재직기간 3개월 이상
사업소득자 : 사업영위기간 6개월 이상
연금소득자 : 연금수령 1회이상(다만, 4대 공적연금(국민연금,공무원연금,군인연금,사학연금)에 한함
급여소득자 : 현 직장 재직기간 3개월 이상
사업소득자 : 사업영위기간 6개월 이상
연금소득자 : 연금수령 1회이상(다만, 4대 공적연금(국민연금,공무원연금,군인연금,사학연금)에 한함
소득조건
연소득 3,500만원 이하 (다만, 개인신용평가회사의 개인 신용평점이 하위 100분의 20에 해당하는 자는 연소득 4,500만원 이하)
연소득 3,500만원 이하 (다만, 개인신용평가회사의 개인 신용평점이 하위 100분의 20에 해당하는 자는 연소득 4,500만원 이하)
다음의 조건을 모두 충족하는 개인(개인사업자 포함)
전북은행 신용등급(결합) 7등급 이상
재직조건
급여소득자 : 현 직장 재직기간 3개월 이상
사업소득자 : 사업영위기간 6개월 이상
연금소득자 : 연금수령 1회이상(다만, 4대 공적연금(국민연금,공무원연금,군인연금,사학연금)에 한함
소득조건
연소득 3,500만원 이하 (다만, 개인신용평가회사의 개인 신용평점이 하위 100분의 20에 해당하는 자는 연소득 4,500만원 이하)",정보 없음,해당없음,정보 없음,8.11,1.5,2금융권,8.11,3500만원
신한은행,쏠편한 새희망홀씨 대출,모바일,"만기일시상환: 1년
원금분할상환: 1년~5년
대출만기 도래 시 은행의 심사 결과에 따라 대출금 상환 또는 대출기한 연기가능 하며 1년 단위로 최장 20년까지 연장가능합니다. (만기일시상환 방식 해당)","신한은행 특별지원 1.5% 우대(~23.12.31까지 한시 적용), 성실상환자에 대한 금리감면 최대 2.85%, 만기일시상환대출 : 대출연기 시 과거 약정기간 중 연체내역이 없는 경우 금리 연도별 0.5% 최대 5년간 누적 2.0%까지 우대, 분할상환대출 : 약정기간(분기별) 중 연체내역이 없는 경우 분기별 0.15% 최대 2.85%까지 우대, 신한은행 특별지원 1.5% 우대(~23.12.31까지 한시 적용),  성실상환자에 대한 금리감면 최대 2.85%, 만기일시상환대출 : 대출연기 시 과거 약정기간 중 연체내역이 없는 경우 금리 연도별 0.5% 최대 5년간 누적 2.0%까지 우대, 분할상환대출 : 약정기간(분기별) 중 연체내역이 없는 경우 분기별 0.15% 최대 2.85%까지 우대","6개월 이상 재직중인 직장인
만 19세 이상 내국인
납부한 건강보험료로 추정한 연소득과 개인신용평점이 다음 중 한 가지를 충족하는 고객
신한은행 심사기준을 충족하는 고객
다음에 해당되는 경우 대출대상에서 제외 됨
① 연환산소득 3,500만원 이하
② 연환산소득 3,500만원 초과 4,500만원 이하 & 개인신용평가회사의 개인신용평점이 하위 20%에 해당
직장인으로 건강보험료를 납입 중인 고객
현재 보유하고 있는 대출금액이 3,000만원을 초과하는 고객 (신청건 및 담보대출 제외)
은행연합회 신용정보전산망에 신용도 판단정보 및 공공 정보가 등재된 고객
재외국민, 외국인, 해외체류자
6개월 이상 재직중인 직장인
 만 19세 이상 내국인
 납부한 건강보험료로 추정한 연소득과 개인신용평점이 다음 중 한 가지를 충족하는 고객
① 연환산소득 3,500만원 이하
② 연환산소득 3,500만원 초과 4,500만원 이하 & 개인신용평가회사의 개인신용평점이 하위 20%에 해당
직장인으로 건강보험료를 납입 중인 고객
 신한은행 심사기준을 충족하는 고객
 다음에 해당되는 경우 대출대상에서 제외 됨
현재 보유하고 있는 대출금액이 3,000만원을 초과하는 고객 (신청건 및 담보대출 제외)
은행연합회 신용정보전산망에 신용도 판단정보 및 공공 정보가 등재된 고객
재외국민, 외국인, 해외체류자","변동금리 : 금융채 1년
변동금리 : 금융채 1년",해당없음,정보 없음,8.13,1.5,2금융권,8.13,3500만원
농협은행,NH모바일새희망홀씨II,모바일,"원(리)금균등할부상환 : 1년 이상 5년 이내(거치기간 없음)","우대금리 : 최고 0.2%p 우대, ※ 대출 신청 시 적용된 우대금리는 대출만기까지 적용되고, 기한연기, 금리인하요구 및 조건변경의 금리 재산출 시 우대금리가 변경될 수 있습니다., ※ 대출금리는 고객 신용등급, 거래실적, 대출조건 등에 따라 차등 적용될 수 있습니다. 금리관련 자세한 사항은 NH농협은행 고객행복센터(Tel. 1661-3000) 직원과 상담하시기 바랍니다., 청년층(만29세 이하) 또는 고령자(만65세 이상) 우대 : 0.20%p, 우대금리 : 최고 0.2%p 우대, 청년층(만29세 이하) 또는 고령자(만65세 이상) 우대 : 0.20%p,  ※ 대출 신청 시 적용된 우대금리는 대출만기까지 적용되고, 기한연기, 금리인하요구 및 조건변경의 금리 재산출 시 우대금리가 변경될 수 있습니다.,  ※ 대출금리는 고객 신용등급, 거래실적, 대출조건 등에 따라 차등 적용될 수 있습니다. 금리관련 자세한 사항은 NH농협은행 고객행복센터(Tel. 1661-3000) 직원과 상담하시기 바랍니다.","대출신청일 현재 6개월 이상 계속 재직하고 있고, 다음 조건 중 하나를 만족하는 고객
※ 국민건강보험공단 자격득실확인서 기준 재직기간 6개월 이상인 직장인 근로자
※ 국민건강보험공단 보험료 납부확인서에 의한 납부보험료로 추정한 연환산소득 기준
※ 대출신청일 현재 동일사업장 국민건강보험 가입이력이 6개월 이상이어야 하며, 자격유지 기준 변동사항(휴직, 이직, 합병 등)이 있는 경우에는 신청이 불가합니다.
① 연소득 4,500만원 이하이면서 개인신용평가회사(KCB 또는 NICE)가 산정한 개인신용평점이 하위 100분의 20에 해당하는 자
② 연소득 3,500만원 이하
대출신청일 현재 6개월 이상 계속 재직하고 있고, 다음 조건 중 하나를 만족하는 고객
① 연소득 4,500만원 이하이면서 개인신용평가회사(KCB 또는 NICE)가 산정한 개인신용평점이 하위 100분의 20에 해당하는 자
② 연소득 3,500만원 이하
 ※ 국민건강보험공단 자격득실확인서 기준 재직기간 6개월 이상인 직장인 근로자
 ※ 국민건강보험공단 보험료 납부확인서에 의한 납부보험료로 추정한 연환산소득 기준
 ※ 대출신청일 현재 동일사업장 국민건강보험 가입이력이 6개월 이상이어야 하며, 자격유지 기준 변동사항(휴직, 이직, 합병 등)이 있는 경우에는 신청이 불가합니다.","변동금리
변동금리",해당없음,정보 없음,8.35,0.2,2금융권,8.35,3500만원
