금융회사명,상품명,최저 금리(%),대출한도,상환 방식,가입대상,저축기간(개월),만기이자
부산은행,ONE신용대출-소액대출,6.9,1000만원,"원금균등, 원리금균등 상환방식대출 : 1년 초과 ~ 5년 이내
※ 65세이상의 경우 대출만기는 3년으로 제한","공통
급여소득자 : 3개월 이상
개인사업자 : 3개월 이상
연금소득자 : 연금 1회 이상 수령
연소득 1,200만원
KCB 625점 이상 & NICE 675점 이상
공적연금(국민연금, 공무원연금, 군인연금, 사학연금)만 가능하며, 기초연금은 불가.
단, 비대면 채널은 국민연금 限
공통
연소득 1,200만원
KCB 625점 이상 & NICE 675점 이상
 급여소득자 : 3개월 이상
 개인사업자 : 3개월 이상

연금소득자 : 연금 1회 이상 수령
공적연금(국민연금, 공무원연금, 군인연금, 사학연금)만 가능하며, 기초연금은 불가.
단, 비대면 채널은 국민연금 限",정보 없음,정보 없음
SC제일은행,모바일소액대출,10.85,2000만원,"원리금균등분할상환 : 1년 ~ 3년 (연단위)
소득/재직 확인(국민건강보험공단) : 최대 3년
추정소득 : 최대 2년","금융권 주택담보대출 또는 신용카드를 보유한 고객중 SC제일은행 신용평가시스템(은행내부신용등급 1~9등급)에 의하여 자동승인을 받은고객
NICE 신용평가정보㈜의 신용평점(CB평점)이 601점 이상인 고객(단, CB평점에 따라 대출한 도 및 적용금리가 달라질 수 있음)
소득/재직 확인(국민건강보험공단) : 만 20세 이상 (금융거래기간 1년 이상자)
추정소득(신용평가사) : 만 24세 이상
금융권 주택담보대출 또는 신용카드를 보유한 고객중 SC제일은행 신용평가시스템(은행내부신용등급 1~9등급)에 의하여 자동승인을 받은고객
 NICE 신용평가정보㈜의 신용평점(CB평점)이 601점 이상인 고객(단, CB평점에 따라 대출한 도 및 적용금리가 달라질 수 있음)
 소득/재직 확인(국민건강보험공단) : 만 20세 이상 (금융거래기간 1년 이상자)
 추정소득(신용평가사) : 만 24세 이상",정보 없음,정보 없음
iM뱅크,쓰담쓰담 간편대출,12.44,300만원,매월 원금균등분할상환,"직업에 관계없이 만 20세 이상인 대한민국 국민
직업에 관계없이 만 20세 이상인 대한민국 국민",36,정보 없음
iM뱅크,핀크비상금대출,12.48,300만원,만기일시상환 또는 통장대출 방식 : 1년(최장 10년까지 기한연장 가능),"대한민국 국민으로서 국내에 거주하고 있는 만 20세 이상 성인
DGBiM뱅크 대출심사 통과 고객 (자동심사)
제외대상 : 미성년자, 재외국민, 외국인, 해외체류자 등
대한민국 국민으로서 국내에 거주하고 있는 만 20세 이상 성인
 DGBiM뱅크 대출심사 통과 고객 (자동심사)
 제외대상 : 미성년자, 재외국민, 외국인, 해외체류자 등",정보 없음,정보 없음
신한카드,원스탑 대환대출,13.05,5000만원,원리금균등상환,"신한 신용카드 보유회원 또는 비회원
만 19세 이상 개인(개인사업자, 외국인 제외)
신한 신용카드 보유회원 또는 비회원
만 19세 이상 개인(개인사업자, 외국인 제외)",정보 없음,정보 없음
신한카드,장기카드대출,13.2,5000만원,거치 + 원리금균등상환,정보 없음,정보 없음,정보 없음
신한카드,가계신용대출,14.08,5000만원,원리금균등상환 / 거치 + 원리금균등상환(일부 고객에 한함),정보 없음,36,정보 없음
스마트저축은행,비상금대출,14.35,500만원,만기일시상환,"ㆍ만19세 이상 내국인 (단, 만 남31세, 여29세 이하는 소득증빙 필수)
ㆍNICE 신용평점 601점 이상인 내부 심사 기준 통과자
ㆍ만19세 이상 내국인 (단, 만 남31세, 여29세 이하는 소득증빙 필수)
ㆍNICE 신용평점 601점 이상인 내부 심사 기준 통과자",60,정보 없음
다올저축은행,Fi 비상금 자동대출,17.0,500만원,"만기일시상환, 원리금균등분할상환","만32세 이상 소득 있는 모든 고객(신용점수(NICE기준) 560점 이상인 자)
만32세 이상 소득 있는 모든 고객(신용점수(NICE기준) 560점 이상인 자)",60,정보 없음
스마트저축은행,Smart-I 비상금 자동대출,18.03,500만원,만기일시상환,"만 19세 이상(단, 만 남31세, 여29세 이하는 소득증빙 필수)
(NICE신용평점 601점 이상인 내부 심사 기준 통과자)
만 19세 이상(단, 만 남31세, 여29세 이하는 소득증빙 필수)
(NICE신용평점 601점 이상인 내부 심사 기준 통과자)",60,정보 없음
다올저축은행,Fi비상금,18.19,500만원,"원리금균등분할, 만기일시상환 : 최장 60개월","만 32세 이상 소득있는 모든 고객
신용점수[NICE기준] 560점 이상
만 32세 이상 소득있는 모든 고객
 신용점수[NICE기준] 560점 이상",정보 없음,정보 없음
KB저축은행,kiwi여성비상금대출,18.87,,마이너스상환/만기일시상환,"직업/소득에 관계없이 당사 개인신용평가 심사기준을 충족한 여성고객
KCB 개인신용평점 475점 이상인 고객
직업/소득에 관계없이 당사 개인신용평가 심사기준을 충족한 여성고객
KCB 개인신용평점 475점 이상인 고객",60,정보 없음
KB저축은행,kiwi비상금대출,19.17,300만원,마이너스상환/만기일시상환 : 1년 (최장 5년까지 연장가능),"직업/소득에 관계없이 kb저축은행 개인신용평가 심사기준 충족고객
KCB 개인신용평점 475점 이상인 고객
직업/소득에 관계없이 kb저축은행 개인신용평가 심사기준 충족고객
 KCB 개인신용평점 475점 이상인 고객",정보 없음,정보 없음
SBI저축은행,SBI스피드대출(추가),19.9,500만원,원리금균등분할상환,"만 20세 이상 내국인
CB사 소득에 의해 대출한도가 산정되는 고객
신용점수[NICE 기준] 450점 이상
만 20세 이상 내국인
CB사 소득에 의해 대출한도가 산정되는 고객
신용점수[NICE 기준] 450점 이상",36,정보 없음
