번호,용어,설명
1,1인당 국민소득,"국민총소득은 한 나라의 국민이 나라 안에서는 물론 외국에서 일정기간동안에 벌어들인 소득액을 모두 합한 것이다. 그런데 국민총소득만  가지고는 우리나라 국민이 미국이나 중국 등 다른 나라 국민에 비해 얼마나 잘 사는지를 알 수 없다. 왜냐하면 국민총소득을 보면 나라 전체의 소득 수준은 알 수 있지만 국민의 평균적인 생활수준은 파악하기 어려운데 이는 국민총소득이 많더라도 인구가 많으면 한사람에게 돌아가는 소득이 적기 때문이다.

따라서 국민총소득을 인구수로 나눈 1인당 국민소득을 통하여 국민 한 사람이 평균 얼마의 소득을 벌고 있는가를 알 수 있으며 1인당 국민소득은 다른 나라와의 비교를 위해서 미국 달러화로 표시한다.."
2,CMA,"고객이 예치한 자금을 양도성예금증서, 국공채 등의 채권에 투자하여 그 수익을 고객에게 돌려주는 금융상품"
3,GDP디플레이터,명목GDP를 실질GDP로 나눈 값으로 나라 경제의 전반적인 물가수준을 의미한다.
4,IMF Debt Guide Final Draft 2001,"1990년대 이후 민간부문을 통한 국제자본 흐름의 급증 및 이를 반영한 국제수지통계 편제기준의 개편 등으로 기존 외채통계의 유용성이 크게 떨어짐에 따라 외채통계 편제에 관한 이전의 국제적 통일기준(Grey Book, 1988년)의 보완 필요성이 증대. 특히 1990년대중 수차례의 국제금융위기를 겪는 과정에서 포괄적이고 비교가능한 외채통계의 중요성에 대한 인식이 더욱 확산됨에 따라 국제통화기금(IMF) 등 8개 국제기구들은 새로운 외채통계 편제기준의 마련을 위한 공동작업을 추진하여, 2001년 11월 그동안의 여건변화를 반영한「외채통계 작성 및 이용 지침서」를 새로이 발표하였으며, 각 국은 동 지침에 따라 외채통계를 작성·발표하도록 권고.

   ㅇ 이 지침서는 이전의 통일기준에 도입되었던 많은 개념들을 확장하여 경제내 여러 부문과 각종 채무 형태에 일관되게 적용할 수 있는 분명한 기준을 제공. 아울러 국민계정 및 국제수지통계 편제에 관한 새로운 국제기준(1993 SNA 및 BPM5)과 포괄범위 분류방법 등을 최대한 일치시킴으로써 외채통계와 여타 거시경제통계간의 연계분석 및 국가간 비교분석에 있어 유용성이 제고되도록 함. 이외에도 외채통계 작성 및 활용과 관련된 여러가지 관점과 조언은 물론 국제기구들의 외채관련 활동을 소개함으로써 이용자들이 외채통계를 보다 깊이있게 이해할 수 있도록 하고 있음."
5,MMF,"투자신탁회사가 고객들의 자금을 모아 펀드를 구성하고 이를 기업어음(CP), 양도성예금증서(CD), 콜론 등 주로 단기금융상품에 투자하는 금융상품"
6,OECD 경기선행지수,"OECD에서 글로벌 및 개별 국가의 경기전환점을 조기에 파악하기 위해 작성·발표하는 지표로서 주택착공호수, 장단기금리차 등 경기에 선행하는 것으로 알려진 주요 실물·금융 지표들을 이용하여 개별 국가의 경기선행지수를 산출한 뒤 이를 바탕으로 글로벌, 권역 단위의 지수를 작성하여 발표 "
7,가격결정,"시장에서 수요자(소비자)는 물건을 될 수 있는 한 싸게 사고 공급자(생산자)는 가능한 한 물건을 비싸게 파는 것이 유리하다. 그러나 이러한 물건의 가격은 수요자나 공급자 어느 한쪽이 일방적으로 결정하는 것이 아니라 시장에서 그 물건의 수요와 공급의 양에 따라 결정된다.

즉, 어떤 물건이 인기가 좋아 이 물건을 사려는 사람은 많은데 팔겠다는 물건의 양이 적은 경우(수요량이 공급량보다 많은 경우)에는 가격이 올라가고 반대로 사겠다는 양보다 더 많은 물건이 시장에 공급되면 가격은 떨어지게 된다.

아이스크림을 예로 들어 설명해보자. 어떤 나라에서 나라 전체의 상점에 공급되는 아이스크림의 양은 변하지 않고 일정한 양이 공급되고 있는데 아이스크림을 사려는 사람(수요량)이 현재보다 늘어난다면 아이스크림의 가격은 현재보다 올라가게 된다.

이렇게 아이스크림의 가격이 많이 오르게 되면  아이스크림을 사려는 사람의 수가 줄어들게 되고 공급되는 아이스크림의 양은 상대적으로 늘어나게 되어 아이스크림의 가격을 통하여  아이스크림의 수요와 공급은 어떤 균형점을 갖게 된다.  이와같은 일련의 과정을 가격결정 메커니즘이라고 부르며
이렇듯 시장에서는 다수의 수요자와 공급자가 가격을 매개로 물건을 공급하고 구매(수요)하는 활동을 통하여 가격이 결정된다"
8,가계,경제활동의 결과 얻어진 대가를 수입원으로 하여 상품과 서비스의 최종적 소비활동을 영위하는 경제주체를 말한다. 가계는 경제분석에서 기업과 정부와 함께 경제활동을 영위하는 주체 중에서 중요한 부문을 구성한다. 구체적으로는 세대를 단위로 하며 세대는 생계를 같이하는 일단의 동거인을 총칭하는 개념이다. 국민계정(SNA)에서는 가계란 동일한 주거시설을 사용하고 소득과 부의 일부 또는 전부를 공유하며 특정 유형의 재화 및 서비스(주로 주거와 음식)를 집합적으로 소비하는 소규모 개인집단으로 정의된다.
9,가계 순저축률,가계 순저축액(총저축액-고정자본소모)을 가계의 순조정처분가능소득과 연금기금의 가계순지분 증감액을 더한 금액으로 나누어 계산한다.
10,가계소비지출,"가구에서 가구원의 생활에 필요한 재화나 용역을 구입한 대가로 지출되는 일체의 비용으로서 식료품비, 광열수도비, 교육비, 교양오락비, 주거비, 피복신발비, 교통통신비, 기타잡비로 구성되며 현금지출 외에 자가소비 평가액, 주거용 건물의 감가상각액도 포함된다.(가계조사에서는 주거용 건물의 감가상각액이 제외된다)"
